johnlewisweeklydistro.site	johnlewisweeklydistro.country	johnlewisweeklydistro.weekbegins	johnlewisweeklydistro.weekends	johnlewisweeklydistro.direct	johnlewisweeklydistro.displayads	johnlewisweeklydistro.mail	johnlewisweeklydistro.organic_search	johnlewisweeklydistro.paid_search	johnlewisweeklydistro.referrals	johnlewisweeklydistro.social	johnlewisweeklydistro.visits
glassesdirect.co.uk*	WorldWide	08.14.2016	08.20.2016	0.3100303951367781	0.0060790273556231	0.02735562310030395	0.42249240121580545	0.09422492401215805	0.1276595744680851	0.0121580547112462	57413.07201047601
goldsmiths.co.uk*	WorldWide	08.14.2016	08.20.2016	0.152317880794702	0.013245033112582781	0.019867549668874173	0.5794701986754967	0.10596026490066225	0.12582781456953643	0.0033112582781456954	50877.72733598539
grahambrown.com*	WorldWide	08.14.2016	08.20.2016	0.19215686274509805	0.0	0.011764705882352941	0.3254901960784314	0.12941176470588237	0.27450980392156865	0.06666666666666667	36956.06229144259
groovystyle.co.uk*	WorldWide	08.14.2016	08.20.2016	0.0	0.0	0.0	1.0	0.0	0.0	0.0	767.485374854156
habitat.co.uk*	WorldWide	08.14.2016	08.20.2016	0.18773946360153257	0.0019157088122605363	0.028735632183908046	0.6168582375478927	0.0421455938697318	0.09961685823754789	0.022988505747126436	100615.13485426492
halfords.com*	WorldWide	08.14.2016	08.20.2016	0.19007891770011273	0.002029312288613303	0.01758737316798196	0.563923337091319	0.10056369785794814	0.11296505073280722	0.012852311161217588	881172.8197995144
harlequin.uk.com*	WorldWide	08.14.2016	08.20.2016	0.3150684931506849	0.0	0.0	0.3150684931506849	0.0	0.2602739726027397	0.1095890410958904	7223.919964683938
harrods.com*	WorldWide	08.14.2016	08.20.2016	0.25306748466257667	0.0	0.013803680981595092	0.44631901840490795	0.062116564417177916	0.19478527607361965	0.0299079754601227	187305.2225800726
harveynichols.com*	WorldWide	08.14.2016	08.20.2016	0.21428571428571427	0.0020408163265306124	0.036734693877551024	0.49795918367346936	0.05918367346938776	0.17551020408163265	0.014285714285714285	73969.81704017008
heals.com*	WorldWide	08.14.2016	08.20.2016	0.24157303370786518	0.02247191011235955	0.016853932584269662	0.46629213483146065	0.10112359550561797	0.12359550561797752	0.028089887640449437	26268.44709728719
hm.com*	WorldWide	08.14.2016	08.20.2016	0.29410164797804345	0.0031401832185641698	0.0449145103663135	0.3268139503257631	0.1285373422181562	0.1589625032452681	0.0435298626478915	6929714.552046297
hobbs.co.uk*	WorldWide	08.14.2016	08.20.2016	0.2682926829268293	0.0	0.13170731707317074	0.37073170731707317	0.04878048780487805	0.14146341463414633	0.03902439024390244	36383.714199865244
homebase.co.uk*	WorldWide	08.14.2016	08.20.2016	0.16749024707412224	0.0059817945383615085	0.022626788036410925	0.646033810143043	0.08764629388816644	0.06397919375812744	0.006241872561768531	842965.9259003901
homesense.com*	WorldWide	08.14.2016	08.20.2016	0.05357142857142857	0.0	0.0	0.5714285714285714	0.21428571428571427	0.16071428571428573	0.0	9509.740062520388
hotpoint.co.uk*	WorldWide	08.14.2016	08.20.2016	0.2903225806451613	0.008064516129032258	0.07258064516129033	0.49193548387096775	0.024193548387096774	0.10483870967741936	0.008064516129032258	31742.193603593536
hotter.com*	WorldWide	08.14.2016	08.20.2016	0.3445378151260504	0.04481792717086835	0.14285714285714285	0.20168067226890757	0.11204481792717087	0.15126050420168066	0.0028011204481792717	70597.53141934049
houseoffraser.co.uk*	WorldWide	08.14.2016	08.20.2016	0.23024211968935587	0.02603928734582001	0.04111466423024212	0.42873458200091363	0.08656920968478757	0.17245317496573778	0.014846962083142987	844136.8447287297
houseology.com*	WorldWide	08.14.2016	08.20.2016	0.33	0.0	0.0	0.29	0.12	0.22	0.04	14591.017562353923
hp.com*	WorldWide	08.14.2016	08.20.2016	0.3113163746548396	0.008291995536332461	0.010678591501111844	0.5470599255512385	0.018457428178123143	0.09611546888872598	0.00808021568962849	1.5401578903543979E7
hughes.co.uk*	WorldWide	08.14.2016	08.20.2016	0.22727272727272727	0.14285714285714285	0.0	0.461038961038961	0.006493506493506494	0.14935064935064934	0.012987012987012988	31729.241462307797
hugoboss.com*	WorldWide	08.14.2016	08.20.2016	0.2828854314002829	0.009900990099009901	0.01166902404526167	0.3451202263083451	0.1272984441301273	0.1371994342291372	0.08592644978783592	243910.85604161047
ikea.com*	WorldWide	08.14.2016	08.20.2016	0.30953602685529313	0.005769092434959837	0.019997602205970508	0.4002541661671262	0.03415417815609639	0.19728569715861408	0.033003237021939816	1.8525833192197427E7
jaeger.co.uk*	WorldWide	08.14.2016	08.20.2016	0.023809523809523808	0.007936507936507936	0.2619047619047619	0.5158730158730159	0.07142857142857142	0.11904761904761904	0.0	25606.702826449313
javari.co.uk*	WorldWide	08.14.2016	08.20.2016	1.0	0.0	0.0	0.0	0.0	0.0	0.0	458.72124459508166
jdsports.co.uk*	WorldWide	08.14.2016	08.20.2016	0.2527279127067934	0.022175290390707498	0.01689545934530095	0.3804998240056318	0.133051742344245	0.16050686378035903	0.03414290742696234	466086.2618339309
jessops.com*	WorldWide	08.14.2016	08.20.2016	0.2589838909541512	0.06815365551425032	0.026022304832713755	0.34324659231722426	0.16356877323420074	0.1251548946716233	0.01486988847583643	164917.5832892064
jigsaw-online.com*	WorldWide	08.14.2016	08.20.2016	0.39568345323741005	0.02877697841726619	0.02158273381294964	0.37410071942446044	0.050359712230215826	0.11510791366906475	0.014388489208633094	28950.350613801987
johnlewis.com*	WorldWide	08.14.2016	08.20.2016	0.23015588604192797	0.00949650600250851	0.027683210894104998	0.41686077763841606	0.09362121483605089	0.20766887654542196	0.014513528041569612	2237671.3468350177
josephjoseph.com*	WorldWide	08.14.2016	08.20.2016	0.34574468085106386	0.005319148936170213	0.015957446808510637	0.3882978723404255	0.05319148936170213	0.16489361702127658	0.026595744680851064	20419.667214487516
joules.com*	WorldWide	08.14.2016	08.20.2016	0.16040955631399317	0.0	0.1945392491467577	0.40955631399317405	0.04778156996587031	0.14675767918088736	0.040955631399317405	54317.60794088458
kiddicare.com*	WorldWide	08.14.2016	08.20.2016	0.1686046511627907	0.005813953488372093	0.0	0.313953488372093	0.3313953488372093	0.1511627906976744	0.029069767441860465	33849.39873265132
