johnlewisweeklydistro.site	johnlewisweeklydistro.country	johnlewisweeklydistro.weekbegins	johnlewisweeklydistro.weekends	johnlewisweeklydistro.direct	johnlewisweeklydistro.displayads	johnlewisweeklydistro.mail	johnlewisweeklydistro.organic_search	johnlewisweeklydistro.paid_search	johnlewisweeklydistro.referrals	johnlewisweeklydistro.social	johnlewisweeklydistro.visits
kiddicare.com*	WorldWide	08.06.2017	08.12.2017	0.18052738336713997	0.010141987829614604	0.015212981744421908	0.2900608519269777	0.2160243407707911	0.25760649087221094	0.030425963488843816	34087.790759857504
mandmdirect.com*	WorldWide	08.06.2017	08.12.2017	0.27634328426905264	0.032347445067336805	0.06108641020684322	0.3034252943396573	0.16507875139230246	0.11751493560888493	0.044203879115922405	228902.14354076737
maplin.co.uk*	WorldWide	08.06.2017	08.12.2017	0.1838451114634168	0.009894869228657217	0.031246955458917522	0.6039908951615046	0.05021832127326031	0.08799454418238022	0.0328093032318634	577750.5858218478
orlakiely.com*	WorldWide	08.06.2017	08.12.2017	0.31547619047619047	0.0	0.17857142857142858	0.41666666666666663	0.0	0.08928571428571429	0.0	5555.099914305156
simplyelectricals.co.uk*	WorldWide	08.06.2017	08.12.2017	0.078125	0.0	0.0	0.8046875	0.0	0.1171875	0.0	4112.932214183789
allbeauty.com*	WorldWide	08.06.2017	08.12.2017	0.3358921550271484	0.01497846845160082	0.04493540535480246	0.26362104474817444	0.1112151282531361	0.21437932971353674	0.01497846845160082	93164.50715215919
ao.com*	WorldWide	08.06.2017	08.12.2017	0.2816699433329479	0.0045117767241047	0.04721174973979417	0.28875371034270086	0.19388766817007833	0.1590316487413747	0.02493350294899966	357462.17248014524
ctshirts.com*	WorldWide	08.06.2017	08.12.2017	0.37414026037828546	0.02113078788995333	0.05541290530582167	0.2158886790714812	0.05955040223532301	0.176941322770818	0.09693564234831736	198769.96191453838
westelm.co.uk*	WorldWide	08.06.2017	08.12.2017	0.45242369838420105	0.008976660682226212	0.07001795332136446	0.24416517055655296	0.0807899461400359	0.12567324955116696	0.017953321364452424	19716.790341729717
matalan.co.uk*	WorldWide	08.06.2017	08.12.2017	0.1991825425376391	0.008358272929758362	0.10094221922862023	0.38030141830400555	0.053900144662416105	0.16028442621068673	0.09703097612687434	276561.85797469877
wallis-fashion.com*	WorldWide	08.06.2017	08.12.2017	1.0	0.0	0.0	0.0	0.0	0.0	0.0	203.64862031423442
littlewoods.com*	WorldWide	08.06.2017	08.12.2017	0.3706464819575359	0.005998286203941731	0.03918880319908598	0.2719223079120252	0.015728839379224986	0.27705417499761975	0.019461106350566505	253918.71020098843
techradar.com*	WorldWide	08.06.2017	08.12.2017	0.10263800543212415	2.2686489492694057E-4	0.002125549554007797	0.8482435714334627	3.4902291527221626E-5	0.022777663718818817	0.023953442675132202	8117526.506224807
achica.com*	WorldWide	08.06.2017	08.12.2017	0.2000794123486202	0.005558864403414731	0.350208457415128	0.16009529481834422	0.0	0.2501488981536628	0.03390907286082985	68747.76751508912
argos.co.uk*	WorldWide	08.06.2017	08.12.2017	0.29104401639330424	0.005295847409814786	0.014198709000330196	0.4803554012798934	0.0775716546780154	0.10798453009932739	0.023549841139314177	4093669.9927302226
lakeland.co.uk*	WorldWide	08.06.2017	08.12.2017	0.19846293919863497	0.013549649788152297	0.04516549929384099	0.4751410525712072	0.10478395836171109	0.14483070106891677	0.018066199717536396	146103.010643012
oceanlighting.co.uk*	WorldWide	08.06.2017	08.12.2017	0.08615384615384615	0.0	0.0	0.4030769230769231	0.37846153846153846	0.08615384615384615	0.046153846153846156	12264.88015412988
seafolly.com*	WorldWide	08.06.2017	08.12.2017	0.21052631578947367	0.0	0.0	0.6052631578947368	0.05263157894736842	0.10526315789473684	0.02631578947368421	5657.775408457554
