countryname	country	mobile	domain	ga:month	ga:year	ga:devicecategory	ga:sessions	>100k
Canada	124	0	lorealprofessionnel.ca	2	2017	mobile	1	0
France	250	1	armanibeauty.fr	1	2016	mobile	5768	0
France	250	1	armanibeauty.fr	1	2017	mobile	12228	0
France	250	1	armanibeauty.fr	2	2016	mobile	7432	0
France	250	1	armanibeauty.fr	2	2017	mobile	10250	0
France	250	1	armanibeauty.fr	3	2016	mobile	12338	0
France	250	1	armanibeauty.fr	3	2017	mobile	10233	0
France	250	1	armanibeauty.fr	4	2016	mobile	9762	0
France	250	1	armanibeauty.fr	4	2017	mobile	7590	0
France	250	1	armanibeauty.fr	5	2015	mobile	21066	0
France	250	1	armanibeauty.fr	5	2016	mobile	8908	0
France	250	1	armanibeauty.fr	5	2017	mobile	6865	0
France	250	1	armanibeauty.fr	6	2015	mobile	5668	0
France	250	1	armanibeauty.fr	6	2016	mobile	6841	0
France	250	1	armanibeauty.fr	7	2015	mobile	5011	0
France	250	1	armanibeauty.fr	7	2016	mobile	5496	0
France	250	1	armanibeauty.fr	8	2015	mobile	5752	0
France	250	1	armanibeauty.fr	8	2016	mobile	9178	0
France	250	1	armanibeauty.fr	9	2015	mobile	6638	0
France	250	1	armanibeauty.fr	9	2016	mobile	12156	0
France	250	1	armanibeauty.fr	10	2015	mobile	8248	0
France	250	1	armanibeauty.fr	10	2016	mobile	15192	0
France	250	1	armanibeauty.fr	11	2015	mobile	7053	0
France	250	1	armanibeauty.fr	11	2016	mobile	18492	0
France	250	1	armanibeauty.fr	12	2015	mobile	9297	0
France	250	1	armanibeauty.fr	12	2016	mobile	17490	0
France	250	1	biotherm.fr	1	2016	mobile	18784	0
France	250	1	biotherm.fr	1	2017	mobile	16694	0
France	250	1	biotherm.fr	2	2016	mobile	21471	0
France	250	1	biotherm.fr	2	2017	mobile	16723	0
France	250	1	biotherm.fr	3	2016	mobile	16150	0
France	250	1	biotherm.fr	3	2017	mobile	24951	0
France	250	1	biotherm.fr	4	2016	mobile	16732	0
France	250	1	biotherm.fr	4	2017	mobile	26894	0
France	250	1	biotherm.fr	5	2015	mobile	22466	0
France	250	1	biotherm.fr	5	2016	mobile	18842	0
France	250	1	biotherm.fr	5	2017	mobile	32621	0
France	250	1	biotherm.fr	6	2015	mobile	18212	0
France	250	1	biotherm.fr	6	2016	mobile	18880	0
France	250	1	biotherm.fr	7	2015	mobile	17944	0
France	250	1	biotherm.fr	7	2016	mobile	16189	0
France	250	1	biotherm.fr	8	2015	mobile	18269	0
France	250	1	biotherm.fr	8	2016	mobile	13660	0
France	250	1	biotherm.fr	9	2015	mobile	16554	0
France	250	1	biotherm.fr	9	2016	mobile	20924	0
France	250	1	biotherm.fr	10	2015	mobile	29808	0
France	250	1	biotherm.fr	10	2016	mobile	24825	0
France	250	1	biotherm.fr	11	2015	mobile	18422	0
France	250	1	biotherm.fr	11	2016	mobile	22690	0
France	250	1	biotherm.fr	12	2015	mobile	20917	0
France	250	1	biotherm.fr	12	2016	mobile	24423	0
France	250	1	carita.fr	1	2016	mobile	421	0
France	250	1	carita.fr	1	2017	mobile	3244	0
France	250	1	carita.fr	2	2016	mobile	11	0
France	250	1	carita.fr	2	2017	mobile	4554	0
France	250	1	carita.fr	3	2016	mobile	3	0
