ga_learningset.site	ga_learningset.country	ga_learningset.pageviewmobile	ga_learningset.pageviewonline	ga_learningset.uniqmobile	ga_learningset.uniqonline	ga_learningset.visitsmobile	ga_learningset.visitsonline	ga_learningset.est_visits_mobile	ga_learningset.est_visits_desktop	ga_learningset.month	ga_learningset.year
15min.lt	643	59815	15661	14215	5723	23849	7293	8207.914287	22627.37083	6	17
15minut.org	643	1441	1429	531	746	700	837	13971.33276	16015.9154	4	17
15minut.org	643	4105	4329	1628	2009	2140	2300	11243.5926	8743.59297	5	17
15minut.org	643	3839	3226	1788	1766	2121	1975	12918.62403	0	6	17
168.am	643	218227	49534	108475	18702	146220	25347	14313.34221	44352.62458	4	17
168.am	643	181613	43252	94288	15619	122966	20588	11468.0782	24052.90829	5	17
168.am	643	157432	34031	72572	11393	99191	14997	10473.73632	28722.68585	6	17
168chasa.bg	643	693	1243	319	443	351	535	1037.759668	11310.55949	5	17
169.ru	643	86520	167284	15861	24934	19927	30588	24718.99246	8128.482728	5	17
169.ru	643	99915	162796	17670	23816	22227	29591	26933.52017	16071.37454	6	17
1800contacts.com	643	351	796	157	269	166	307	242.3649139	4559.88859	4	17
1800petmeds.com	643	446	756	151	504	156	515	583.6128753	0	4	17
1800petmeds.com	643	314	643	168	520	192	520	453.1190453	0	5	17
180graus.com	643	268	305	154	295	169	295	253.5582061	0	4	17
180graus.com	643	121	398	90	374	90	374	332.6464968	4067.616116	5	17
18virginsex.com	643	3041	4974	650	1048	683	1114	4436.649338	6420.598031	5	17
18virginsex.com	643	2869	5137	637	1044	674	1111	5551.607872	0	6	17
18vr.com	643	983	473	487	107	503	114	555.8573063	3035.384036	6	17
18yoga.com	643	4149	2575	1089	745	1128	778	822.7664252	7803.696625	5	17
192-168-1.org	643	117	318	79	235	81	244	298.9374629	1769.462843	4	17
192-168-1.org	643	205	478	150	333	160	345	220.4389062	2252.507343	5	17
192.com	643	3464	10129	1265	5224	1311	5346	2638.810206	3440.000189	5	17
192.com	643	3177	10920	1362	6362	1423	6514	3361.896984	3159.607681	6	17
19216811-login.com	643	134	767	85	467	93	482	644.5843335	3576.859015	4	17
19216811.kim	643	44	86	27	64	28	68	57.86551012	7779.935033	4	17
1921681254.co	643	147	339	90	228	98	238	428.1201936	6766.084502	6	17
192abc.com	643	267	536	152	536	152	536	62.12792329	449.7002187	4	17
196.ru	643	18584	19471	3802	5936	4249	6673	8441.709519	8319.12601	5	17
