monthlysourcecountrydis.site	monthlysourcecountrydis.country	monthlysourcecountrydis.source	monthlysourcecountrydis.visits	monthlysourcecountrydis.monthly_uniques	monthlysourcecountrydis.sum_dau	monthlysourcecountrydis.year	monthlysourcecountrydis.month
demo-advancedtrader.swissquote.com	756	1242	1	1	1	17	1
en.swissquote.com	826	1586	1	1	1	17	1
ru.swissquote.com	528	1560	1	1	1	17	1
ru.swissquote.com	804	13017	2	2	2	17	1
ar.swissquote.com	756	12	1	1	1	17	1
demo-advancedtrader.swissquote.com	682	1240	1	1	1	17	1
files.swissquote.com	826	1586	1	1	1	17	1
fr.swissquote.com	764	1242	1	1	1	17	1
en.swissquote.com	84032	1586	1	1	1	17	1
en.swissquote.com	356	1586	5	2	3	17	2
de.swissquote.com	276	1246	1	1	1	17	3
en.swissquote.com	380	13017	1	1	1	17	3
ar.swissquote.com	818	1586	1	1	1	17	4
de.swissquote.com	756	13017	3	2	3	17	4
livechat2.swissquote.com	643	1814	4	1	3	17	4
en.swissquote.com	196	1560	1	1	1	17	4
fr.swissquote.com	250	1576	2	2	2	17	4
apply.swissquote.com	682	1576	1	1	1	17	4
en.swissquote.com	528	1814	1	1	1	17	4
livechat2.swissquote.com	760	1240	1	1	1	17	4
apply.swissquote.com	586	1586	1	1	1	17	1
en.swissquote.com	300	1822	1	1	1	17	1
en.swissquote.com	752	1576	1	1	1	17	1
files.swissquote.com	458	1240	1	1	1	17	1
ru.swissquote.com	376	1240	2	1	1	17	1
ru.swissquote.com	756	12	3	1	2	17	1
en.swissquote.com	608	1587	1	1	1	17	2
de.swissquote.com	756	1241	1	1	1	17	2
fr.swissquote.com	250	1587	3	1	3	17	2
ar.swissquote.com	818	1560	2	2	2	17	3
ar.swissquote.com	826	1560	1	1	1	17	3
cn.swissquote.com	156	1560	8	5	7	17	3
cn.swissquote.com	756	1560	2	1	2	17	3
en.swissquote.com	380	1587	1	1	1	17	4
swissquote.com	356	1560	1	1	1	17	4
apply.swissquote.com	360	1560	1	1	1	17	4
en.swissquote.com	840	1576	2	1	2	17	4
