ga_analysis.dt	ga_analysis.site	ga_analysis.country	ga_analysis.pageviewmobile	ga_analysis.pageviewonline	ga_analysis.uniqmobile	ga_analysis.uniqonline	ga_analysis.visitsmobile	ga_analysis.visitsonline	ga_analysis.source	ga_analysis.weight	ga_analysis.year	ga_analysis.month	ga_analysis.panel_mobile_raw_visits	ga_analysis.panel_mobile_est_visits	ga_analysis.panel_desktop_raw_visits	ga_analysis.panel_desktop_est_visits
201705	mumsnet.com	208	16632.0	89265.0	6768.0	5823.0	7248.0	9393.0	ga	0.3	17	5	1.0	25132.026472157006	50.5	8074.068114299322
201702	mylaps.com	208	25337.0	16336.0	2668.0	1407.0	5832.0	2771.0	ga	0.3	17	2	0.0	0.0	2.0	263.2329630472798
201703	peugeot.co.uk	208	2143.0	2732.0	1151.0	1038.0	1274.0	1113.0	ga	0.3	17	3	0.0	27876.39560311403	5.0	826.4971634825956
201703	pianoworld.com	208	2401.0	2742.0	880.0	1143.0	1178.0	1486.0	qc	0.5	17	3	1.0	39666.68260295004	6.0	848.4040948956731
201705	tarot.com	208	31074.0	12456.0	4971.0	2996.0	7003.0	3484.0	ga	0.3	17	5	0.0	0.0	16.2	2698.7269582175686
201705	technobezz.com	208	1960.0	1432.0	1388.0	1192.0	1532.0	1224.0	ga	0.3	17	5	0.0	0.0	32.2	4891.755424485467
201701	thenextweb.com	208	17185.0	26439.0	13032.0	19579.0	14276.0	20694.0	ga	0.3	17	1	2.0	143242.64553800228	386.3571428571429	52729.45898689825
201702	transavia.com	208	27936.0	35544.0	5487.0	5840.0	6907.0	7414.0	ga	0.3	17	2	0.0	0.0	45.400000000000006	7688.662622334622
201705	upworthy.com	208	22028.0	20027.0	17431.0	17108.0	19592.0	18349.0	qc	0.5	17	5	1.0	84612.59686058054	172.39999999999998	25950.372133623678
201704	vibbi.com	208	10368.0	7781.0	5208.0	3335.0	5575.0	3429.0	ga	0.3	17	4	1.0	103427.55386336571	31.800000000000004	5687.548610882516
201704	videomore.ru	208	34.0	1129.0	17.0	306.0	17.0	357.0	ga	0.3	17	4	1.0	53989.76829956337	6.0	816.539144576379
201705	vrhub.com	208	8015.0	1608.0	3024.0	459.0	3209.0	476.0	ga	0.3	17	5	2.0	77427.87842348004	3.0	479.50663717738934
201704	wrestledrop.com	208	49135.0	20124.0	6255.0	2143.0	6559.0	2287.0	ga	0.3	17	4	1.0	46372.2231297322	3.0	525.4159516908952
201704	aldebaran.ru	208	349.0	320.0	113.0	137.0	117.0	141.0	ga	0.3	17	4	0.0	0.0	2.0	234.8761603632754
201705	anfi.com	208	989.0	1221.0	272.0	269.0	330.0	325.0	ga	0.3	17	5	0.0	0.0	1.0	146.19931775171705
201703	anibis.ch	208	3264.0	4757.0	688.0	679.0	791.0	727.0	ga	0.3	17	3	0.0	0.0	8.0	1342.0113192227093
201702	autoplius.lt	208	703835.0	175572.0	25069.0	10572.0	40448.0	17901.0	ga	0.3	17	2	1.0	11378.627880608146	77.28571428571429	13639.402968633964
201701	batterystore.dk	208	9772.0	14461.0	3576.0	4198.0	4064.0	4803.0	ga	0.3	17	1	1.0	19540.617692432603	36.6	4661.500775994799
201705	bilsektionen.dk	208	18224.0	18436.0	10430.0	10974.0	10942.0	11476.0	ga	0.3	17	5	0.0	0.0	60.60000000000001	8780.721155399586
201705	bravoporn.com	208	114456.0	125006.0	9123.0	11283.0	11323.0	12624.0	ga	0.3	17	5	1.0	69776.48432408064	64.0	11696.798929687866
201704	cosmo.ru	208	8032.0	17348.0	3563.0	2285.0	5001.0	3189.0	ga	0.3	17	4	0.0	0.0	20.0	3300.009351092912
201701	faz.net	208	68234.0	79940.0	25668.0	22703.0	35630.0	32944.0	ga	0.3	17	1	1.0	36426.61129967122	186.8428571428571	29539.2013918914
201705	filmstarts.de	208	21613.0	10482.0	3257.0	2017.0	3774.0	2317.0	ga	0.3	17	5	1.0	45527.58404292879	12.0	2054.6862775716804
201705	gotvach.bg	208	9554.0	4671.0	2957.0	1393.0	3477.0	1761.0	ga	0.3	17	5	1.0	48264.44962970837	9.2	1915.1539602543844
201705	inspiremore.com	208	154726.0	29718.0	121777.0	24637.0	132701.0	26189.0	qc	0.5	17	5	6.0	356208.96076239453	290.00000000000006	46046.79627399861
201705	livemint.com	208	2278.0	22067.0	1686.0	3270.0	1806.0	5408.0	ga	0.3	17	5	2.0	89689.55057416602	21.8	3382.3486356849126
201705	masrawy.com	208	15572.0	3168.0	3638.0	612.0	4489.0	646.0	ga	0.3	17	5	5.0	234814.67613056832	5.0	745.1139547052277
201705	myrecipes.com	208	4190.0	3710.0	3050.0	2570.0	3400.0	3040.0	ga	0.3	17	5	1.0	68409.95052242791	46.800000000000004	7662.720749934002
201705	overstock.com	208	25622.0	20759.0	5567.0	4876.0	6192.0	5196.0	ga	0.3	17	5	1.0	64969.0191070336	52.2	8096.396040259531
201704	partnersinrhyme.com	208	38.0	1278.0	23.0	310.0	23.0	322.0	ga	0.3	17	4	1.0	69623.41969867931	3.0	486.43995288164604
201701	plusbog.dk	208	616239.0	716991.0	119784.0	108171.0	147046.0	128934.0	ga	0.3	17	1	5.0	119085.65803135234	440.1761904761904	71856.05188964467
201705	swansonvitamins.com	208	947.0	2221.0	412.0	612.0	443.0	650.0	ga	0.3	17	5	0.0	0.0	10.6	1132.291758774102
201705	tinyurl.com	208	1557.0	10029.0	991.0	4572.0	1153.0	5767.0	qc	0.5	17	5	3.0	135159.00954142117	66.6	10343.99440097799
201705	woman.ru	208	33880.0	32847.0	4394.0	2757.0	5125.0	3016.0	ga	0.3	17	5	0.0	0.0	77.18571428571428	13455.207217530235
201705	aleris.dk	208	150297.0	122453.0	62395.0	37531.0	68010.0	40500.0	ga	0.3	17	5	3.0	106339.21239631347	127.99999999999999	19880.004458027597
201702	bbr.com	208	1715.0	3165.0	785.0	842.0	858.0	934.0	ga	0.3	17	2	0.0	0.0	3.0	394.2967195999449
201701	builtlean.com	208	3228.0	2367.0	2350.0	1988.0	2573.0	2042.0	ga	0.3	17	1	0.0	51823.712393314534	27.0	3169.688616881618
201701	bust.com	208	1634.0	1005.0	1409.0	708.0	1473.0	728.0	ga	0.3	17	1	0.0	0.0	6.0	813.6002870659414
201702	classiccars.com	208	12194.0	15034.0	2097.0	1905.0	3157.0	2977.0	qc	0.5	17	2	0.0	3560.858424371744	6.6	1188.184212703551
201702	duolingo.com	208	27370.0	177380.0	13204.0	73117.0	16977.0	101746.0	ga	0.3	17	2	6.0	186303.3777404539	1084.2142857142858	155704.53546264707
201702	economycarrentals.com	208	9310.0	21465.0	2330.0	4493.0	2822.0	5362.0	ga	0.3	17	2	0.0	0.0	15.6	2522.9888239065517
