ga_analysis.dt	ga_analysis.site	ga_analysis.country	ga_analysis.pageviewmobile	ga_analysis.pageviewonline	ga_analysis.uniqmobile	ga_analysis.uniqonline	ga_analysis.visitsmobile	ga_analysis.visitsonline	ga_analysis.year	ga_analysis.month	ga_analysis.panel_raw_visits	ga_analysis.panel_est_visits	ga_analysis.panel_page_views
201611	healthsetu.com	356	180838.0	40943.0	95903.0	18093.0	103637.0	19619.0	16	11	365.0	47318.34719424069	70957.54057491929
201701	hoverwatch.com	356	507004.0	80324.0	112815.0	21197.0	180451.0	28812.0	17	1	479.0	37842.92018072493	74777.67900755383
201701	ichowk.in	356	8355251.0	627293.0	6112427.0	400304.0	7099161.0	433742.0	17	1	2083.0	318431.95350676816	414847.4322571988
201605	ichowk.in	356	9070624.0	1274115.0	5166025.0	677183.0	6084251.0	787697.0	16	5	11478.0	1337168.2674729198	1829152.3368480885
201603	icicibank.com	356	0.0	0.0	6708121.0	1.8743648E7	8200444.0	2.5538932E7	16	3	20890.0	6572166.1796377115	1.3861788368830105E7
201610	indiaonapage.com	356	199736.0	138964.0	99793.0	59127.0	105575.0	62540.0	16	10	319.0	44406.58595611532	66678.97689221147
201608	inspiremore.com	356	237071.0	48911.0	195574.0	35661.0	207402.0	38124.0	16	8	419.0	94460.31874032663	111749.86647727659
201603	irctc-pnr-status.com	356	0.0	0.0	626182.0	422487.0	825618.0	494395.0	16	3	3928.0	433585.53585198964	763436.3932912247
201703	jeevansathi.com	356	4.6777939E7	2.1282196E7	4192992.0	1427361.0	6406359.0	2168401.0	17	3	11974.0	2201069.4405897385	6.975321172626269E7
201607	jeevansathi.com	356	3.4713322E7	2.228172E7	2874875.0	1535994.0	4447237.0	2304569.0	16	7	14388.0	2407505.838269992	8.8046075010218E7
201604	kambimalayalamkathakal.com	356	0.0	0.0	355500.0	67608.0	451003.0	82824.0	16	4	2627.0	214907.21799956524	1400088.195317779
201603	kirtu.com	356	0.0	0.0	357282.0	249390.0	446853.0	285663.0	16	3	2681.0	363916.81479034974	1333351.9059391648
201609	lalpathlabs.com	356	3010943.0	5035385.0	531416.0	344831.0	731232.0	662721.0	16	9	2399.0	334293.3071558438	630448.2546197731
201609	latest-hairstyles.com	356	134168.0	22887.0	96666.0	16780.0	106216.0	18441.0	16	9	719.0	90400.02300461262	107983.39082599606
201611	lbb.in	356	2285963.0	825733.0	862702.0	239338.0	1020310.0	302062.0	16	11	1585.0	379900.6059152967	732687.1558626737
201608	livemint.com	356	4175198.0	8462296.0	2637472.0	2195149.0	2968063.0	2608269.0	16	8	5965.0	2190976.032442838	2733678.5327801947
201604	m-icicibank.com	356	0.0	0.0	265691.0	94786.0	299153.0	99048.0	16	4	1795.0	192377.0043116553	351834.14315844054
