site	country	platform	rawvisits	estimatedvisits	year	month
business.panasonic.com	84036	desktop	66	8634.613454	16	4
business.panasonic.com	84037	desktop	20.2	2390.280517	16	4
business.panasonic.com	422	desktop	2	286.3378218	16	4
business.panasonic.com	710	desktop	9	4198.274417	16	4
business.panasonic.com	84038	desktop	2	319.3876476	16	4
business.panasonic.com	231	desktop	1	312.8367949	16	4
business.panasonic.com	999	desktop	1762.838095	205730.8367	16	4
business.panasonic.com	84039	desktop	16	1904.014253	16	4
business.panasonic.com	8	desktop	1	39.85661526	16	4
business.panasonic.com	40	desktop	1	70.86742616	16	4
business.panasonic.com	104	desktop	2	269.874075	16	4
business.panasonic.com	360	desktop	17.6	2354.199747	16	4
business.panasonic.com	392	desktop	40.6	4043.232474	16	4
business.panasonic.com	616	desktop	36	4024.227832	16	4
business.panasonic.com	840	desktop	704.4	90694.07724	16	4
business.panasonic.com	84040	desktop	3	727.9543777	16	4
business.panasonic.com	233	desktop	3	300.3847919	16	4
business.panasonic.com	84041	desktop	9.6	813.6428898	16	4
business.panasonic.com	170	desktop	4	611.8520135	16	4
business.panasonic.com	458	desktop	15	1664.113816	16	4
business.panasonic.com	554	desktop	7.6	1195.585046	16	4
business.panasonic.com	586	desktop	10	1403.419513	16	4
business.panasonic.com	682	desktop	17.6	2167.784812	16	4
business.panasonic.com	84010	desktop	6.6	1035.103571	16	4
business.panasonic.com	84042	desktop	32.53103448	4280.939612	16	4
business.panasonic.com	203	desktop	7.6	1012.205316	16	4
business.panasonic.com	84011	desktop	4	214.6669855	16	4
business.panasonic.com	12	desktop	1	81.57769005	16	4
business.panasonic.com	76	desktop	17.6	2916.21314	16	4
business.panasonic.com	268	desktop	3.2	809.2788222	16	4
business.panasonic.com	300	desktop	7	632.7355076	16	4
business.panasonic.com	364	desktop	10.6	2122.709851	16	4
business.panasonic.com	428	desktop	1	66.25093525	16	4
business.panasonic.com	620	desktop	5	807.2851675	16	4
business.panasonic.com	780	desktop	2	380.4262317	16	4
business.panasonic.com	84012	desktop	34	5548.491126	16	4
business.panasonic.com	84013	desktop	17	3477.748673	16	5
business.panasonic.com	84045	desktop	9	1845.373504	16	5
business.panasonic.com	398	desktop	2	60.78088785	16	5
business.panasonic.com	591	desktop	1	242.1401843	16	5
business.panasonic.com	84015	desktop	5	671.2692009	16	5
business.panasonic.com	84047	desktop	6	1492.508584	16	5
business.panasonic.com	144	desktop	4	631.270249	16	5
business.panasonic.com	208	desktop	9.6	1831.336803	16	5
business.panasonic.com	368	desktop	3	580.3714565	16	5
business.panasonic.com	528	desktop	11.6	2268.579769	16	5
business.panasonic.com	688	desktop	3	321.948133	16	5
business.panasonic.com	752	desktop	3	449.012199	16	5
business.panasonic.com	784	desktop	7.6	2276.061475	16	5
business.panasonic.com	84016	desktop	2	337.6204667	16	5
business.panasonic.com	84048	desktop	56.41818182	10554.8478	16	5
business.panasonic.com	8401	desktop	7	1852.001108	16	5
business.panasonic.com	84017	desktop	41.5	6065.946201	16	5
business.panasonic.com	84049	desktop	5	631.7943401	16	5
business.panasonic.com	50	desktop	2.6	337.9061331	16	5
business.panasonic.com	498	desktop	3	154.0650423	16	5
business.panasonic.com	818	desktop	7.2	882.6442352	16	5
business.panasonic.com	8402	desktop	2	514.1275834	16	5
business.panasonic.com	84018	desktop	7	1520.947726	16	5
business.panasonic.com	84050	desktop	2	245.7647959	16	5
business.panasonic.com	51	desktop	3	407.7776351	16	5
business.panasonic.com	84019	desktop	5	718.1740452	16	5
business.panasonic.com	84051	desktop	27.5	3949.856755	16	5
business.panasonic.com	116	desktop	1	156.8972713	16	5
business.panasonic.com	212	desktop	1	495.3908827	16	5
business.panasonic.com	276	desktop	107.6857143	4217.649036	16	5
business.panasonic.com	372	desktop	5	755.0078751	16	5
business.panasonic.com	724	desktop	19.6	3992.886531	16	5
business.panasonic.com	756	desktop	3	351.9366537	16	5
business.panasonic.com	788	desktop	1.6	188.5529891	16	5
business.panasonic.com	8404	desktop	14.6	2364.391981	16	5
business.panasonic.com	84020	desktop	1	178.9534946	16	5
business.panasonic.com	8405	desktop	2	528.9134121	16	5
business.panasonic.com	84021	desktop	3	730.2983714	16	5
business.panasonic.com	84053	desktop	31.8	4235.732114	16	5
business.panasonic.com	246	desktop	5.6	465.0498642	16	5
business.panasonic.com	438	desktop	1	99.91800765	16	5
business.panasonic.com	630	desktop	2	349.5962699	16	5
business.panasonic.com	8406	desktop	110.1802508	13225.43763	16	5
business.panasonic.com	84054	desktop	1	408.4033788	16	5
business.panasonic.com	887	desktop	1	147.4384707	16	5
business.panasonic.com	84055	desktop	12.6	1274.856695	16	5
business.panasonic.com	56	desktop	10	1617.108991	16	5
business.panasonic.com	152	desktop	2	326.6090265	16	5
business.panasonic.com	344	desktop	6	664.0721898	16	5
business.panasonic.com	376	desktop	2	281.3975984	16	5
business.panasonic.com	440	desktop	7.6	1214.476371	16	5
business.panasonic.com	504	desktop	1	129.2993137	16	5
business.panasonic.com	600	desktop	1	112.1396944	16	5
business.panasonic.com	792	desktop	17.6	4966.004195	16	5
business.panasonic.com	8408	desktop	13	1827.515516	16	5
business.panasonic.com	84024	desktop	13.6	2049.004875	16	5
business.panasonic.com	8409	desktop	10	1504.745908	16	5
business.panasonic.com	84025	desktop	20.6	2382.393407	16	5
business.panasonic.com	218	desktop	1	171.1107619	16	5
business.panasonic.com	250	desktop	23.28571429	2353.572596	16	5
business.panasonic.com	410	desktop	3.6	566.4974132	16	5
business.panasonic.com	762	desktop	1	89.9700668	16	5
business.panasonic.com	826	desktop	34	7087.08758	16	5
business.panasonic.com	858	desktop	1	216.1091633	16	5
business.panasonic.com	84026	desktop	17	2751.12414	16	5
business.panasonic.com	84027	desktop	10	1529.212652	16	5
business.panasonic.com	124	desktop	50	7399.22615	16	5
business.panasonic.com	156	desktop	11.2	2810.255543	16	5
business.panasonic.com	188	desktop	1	183.3502373	16	5
business.panasonic.com	380	desktop	23.6	2889.076324	16	5
business.panasonic.com	540	desktop	1	107.0276294	16	5
business.panasonic.com	604	desktop	1.6	356.0583718	16	5
business.panasonic.com	764	desktop	9.6	1958.719776	16	5
business.panasonic.com	84029	desktop	6.6	912.1743984	16	5
business.panasonic.com	158	desktop	6	675.0749186	16	5
business.panasonic.com	414	desktop	1	173.0237191	16	5
business.panasonic.com	702	desktop	22.2	3444.335614	16	5
business.panasonic.com	84030	desktop	4.6	1251.737277	16	5
business.panasonic.com	31	desktop	1	121.7098659	16	5
business.panasonic.com	191	desktop	1	148.8111234	16	5
business.panasonic.com	703	desktop	2	262.5987094	16	5
business.panasonic.com	84031	desktop	1	163.5253374	16	5
business.panasonic.com	32	desktop	2	340.2805659	16	5
business.panasonic.com	96	desktop	1	41.64931192	16	5
business.panasonic.com	288	desktop	9.2	1747.596314	16	5
business.panasonic.com	320	desktop	1	96.03431644	16	5
business.panasonic.com	512	desktop	1	44.14804054	16	5
business.panasonic.com	608	desktop	8	1381.586113	16	5
business.panasonic.com	704	desktop	13	2941.527331	16	5
business.panasonic.com	736	desktop	1	199.7476549	16	5
business.panasonic.com	84032	desktop	2	382.0546946	16	5
business.panasonic.com	578	desktop	7.6	1603.434067	16	5
business.panasonic.com	642	desktop	7	1236.905686	16	5
business.panasonic.com	834	desktop	1	300.8344493	16	5
business.panasonic.com	84034	desktop	23.6	3038.241291	16	5
business.panasonic.com	643	desktop	136.2	2159.381761	16	5
business.panasonic.com	84035	desktop	1	256.4308214	16	5
business.panasonic.com	36	desktop	14.8	2753.402391	16	5
business.panasonic.com	100	desktop	4	434.5026238	16	5
business.panasonic.com	356	desktop	16	3587.145146	16	5
business.panasonic.com	388	desktop	1	112.1688837	16	5
business.panasonic.com	484	desktop	13.6	2982.619386	16	5
business.panasonic.com	740	desktop	1	161.5494124	16	5
business.panasonic.com	804	desktop	37.8	1576.711406	16	5
business.panasonic.com	84036	desktop	40.7	6202.885069	16	5
business.panasonic.com	84037	desktop	14.6	2046.874808	16	5
business.panasonic.com	70	desktop	3	211.8084368	16	5
business.panasonic.com	84038	desktop	1	338.1913229	16	5
business.panasonic.com	999	desktop	1502.991805	204656.9285	16	5
business.panasonic.com	84039	desktop	27.5	4611.750234	16	5
business.panasonic.com	40	desktop	4	377.930953	16	5
business.panasonic.com	360	desktop	10.6	1282.136845	16	5
business.panasonic.com	392	desktop	11.6	2512.706568	16	5
business.panasonic.com	616	desktop	18	2263.045489	16	5
business.panasonic.com	840	desktop	648.0203762	99798.20228	16	5
business.panasonic.com	84040	desktop	3.6	1097.42118	16	5
business.panasonic.com	233	desktop	5.2	549.8800651	16	5
business.panasonic.com	84041	desktop	10	1050.234144	16	5
business.panasonic.com	170	desktop	2	490.8797902	16	5
business.panasonic.com	458	desktop	11	1503.898119	16	5
business.panasonic.com	554	desktop	5	663.1056127	16	5
business.panasonic.com	586	desktop	4	577.5163604	16	5
business.panasonic.com	682	desktop	6	894.2665166	16	5
business.panasonic.com	84010	desktop	2	376.5834929	16	5
business.panasonic.com	84042	desktop	19	2674.881309	16	5
business.panasonic.com	203	desktop	4	607.162605	16	5
business.panasonic.com	12	desktop	3.6	273.7748858	16	5
business.panasonic.com	76	desktop	18.8	4101.056178	16	5
business.panasonic.com	268	desktop	3	475.4034497	16	5
business.panasonic.com	300	desktop	6	529.7025099	16	5
business.panasonic.com	364	desktop	3.6	528.7456622	16	5
business.panasonic.com	620	desktop	8	1325.540301	16	5
business.panasonic.com	84012	desktop	30.7492163	5927.142428	16	5
business.panasonic.com	84044	desktop	4	599.1101145	16	5
business.panasonic.com	84013	desktop	22	4043.878185	16	6
business.panasonic.com	84045	desktop	6	1338.456165	16	6
business.panasonic.com	398	desktop	4	130.9941554	16	6
business.panasonic.com	558	desktop	1	122.1956322	16	6
business.panasonic.com	84046	desktop	2	456.3188565	16	6
business.panasonic.com	84015	desktop	7	1087.327515	16	6
business.panasonic.com	84047	desktop	9	2153.252827	16	6
business.panasonic.com	112	desktop	5.6	287.6124535	16	6
business.panasonic.com	144	desktop	2	511.3214359	16	6
business.panasonic.com	208	desktop	4	320.1924328	16	6
business.panasonic.com	368	desktop	3	704.7886223	16	6
business.panasonic.com	528	desktop	11.2	1635.22043	16	6
business.panasonic.com	688	desktop	1	84.87453472	16	6
business.panasonic.com	752	desktop	12	1814.908682	16	6
business.panasonic.com	784	desktop	13.8	3411.150235	16	6
business.panasonic.com	84048	desktop	43	8180.056	16	6
business.panasonic.com	8401	desktop	4	1418.033736	16	6
business.panasonic.com	84017	desktop	59.61818182	9622.349572	16	6
business.panasonic.com	84049	desktop	3	431.2099828	16	6
business.panasonic.com	50	desktop	2	265.1723052	16	6
