apps_usage_source.app	apps_usage_source.source	apps_usage_source.country	apps_usage_source.devices	apps_usage_source.users	apps_usage_source.dailyinstalls	apps_usage_source.dailyuninstalls	apps_usage_source.dailyupdates	apps_usage_source.sessions	apps_usage_source.usagetime	apps_usage_source.sessionsquared	apps_usage_source.realsessionsquared	apps_usage_source.usagesquared	apps_usage_source.isinstalled	apps_usage_source.isuninstalled	apps_usage_source.qualified_active_users	apps_usage_source.year	apps_usage_source.month	apps_usage_source.day
com.marathimatrimony	952	356	199.0	45.0	3.0	2.0	0.0	171.0	22744.997	1298.0	1595.0	3.0671728255793E7	3.0	2.0	133.0	16	2	20
com.kannadamatrimony	961	356	4.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	2.0	16	2	27
com.kannadamatrimony	5003	356	20.0	3.0	0.0	1.0	0.0	10.0	3035.933	37.0	54.0	7029846.826595001	0.0	1.0	10.0	16	2	27
com.bengalimatrimony	961	356	7.0	2.0	0.0	0.0	0.0	50.0	12729.608	1202.0	1300.0	1.1246632068304E8	0.0	0.0	6.0	16	2	27
com.marathimatrimony	955	356	4.0	2.0	0.0	0.0	0.0	2.0	481.99	0.0	2.0	174635.07612199997	0.0	0.0	2.0	16	2	27
com.kannadamatrimony	5003	356	20.0	3.0	2.0	1.0	0.0	21.0	4180.481	180.0	219.0	1.1284713082483001E7	1.0	1.0	9.0	16	2	26
com.bengalimatrimony	5084	356	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16	2	27
com.kannadamatrimony	952	356	103.0	25.0	4.0	2.0	0.0	126.0	23905.227999999996	2193.0	2420.0	5.5794664285684E7	4.0	2.0	83.0	16	2	27
com.marathimatrimony	905	356	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	16	2	27
com.bengalimatrimony	990	356	21.0	7.0	3.0	0.0	0.0	97.0	9954.02	3874.0	4061.0	2.5570753355416007E7	3.0	0.0	14.0	16	2	27
com.marathimatrimony	5019	356	36.0	2.0	0.0	0.0	0.0	2.0	561.6899999999999	0.0	2.0	246657.36934799998	0.0	0.0	19.0	16	2	27
com.marathimatrimony	961	356	6.0	1.0	0.0	0.0	0.0	1.0	1137.185	0.0	1.0	1293189.7242249998	0.0	0.0	4.0	16	2	26
