ts	source_id	sub_id	user_id	session_id	user_ip	country_id	user_agent	is_from_one_way	is_link	http_referer	previous_site	requested_site	http_code	http_redirect_to_url	content_type	application_name	is_from_browser	version	client_redirect	client_redirect_duration	version_number	server_redirect	ip_hash	year	month	day	app
1493407904	550	chrome	jdko5mq1djs4e3ninrn0o21o75a		65.51.107.0	840		0	0	https://www.google.com/	https://www.google.com/search?q=In+the+diagram+below%2C+and+are+tangent+to+O.+What+is+the+measure+of+B%3F&oq=In+the+diagram+below%2C+and+are+tangent+to+O.+What+is+the+measure+of+B%3F&aqs=chrome..69i57j0l2.1142j0j7&sourceid=chrome&ie=UTF-8	http://openstudy.com/updates/51071139e4b0ad57a5643e33	0								5.0.4		37d69704a91cfe267c38e5d1700bb3a2	17	4	28	kafka-consumer-a03
1493407909	550	chrome	jdko5mq1djs4e3ninrn0o21o75a		65.51.107.0	840		0	0	http://openstudy.com/updates/51071139e4b0ad57a5643e33	http://openstudy.com/updates/51071139e4b0ad57a5643e33	http://assets.openstudy.com/updates/attachments/51071139e4b0ad57a5643e33-needmathhelp7-1359417683385-photo.jpg	0								5.0.4		37d69704a91cfe267c38e5d1700bb3a2	17	4	28	kafka-consumer-a03
1493409619	550	chrome	jdko5mq1djs4e3ninrn0o21o75a		65.51.107.0	840		0	0	https://www.apexvs.com/lms/	https://www.apexvs.com/lms/#!page/DashBoard	http://courses-prd.apexlearning.com/apps/AceWeb/launch2.do?enrollmentID=37052608&outlineID=771833999&launchRedirect=true&role=S	0								5.0.4		37d69704a91cfe267c38e5d1700bb3a2	17	4	28	kafka-consumer-a03
1493409627	550	chrome	jdko5mq1djs4e3ninrn0o21o75a		65.51.107.0	840		0	0	https://www.apexvs.com/lms/	https://www.apexvs.com/lms/#!page/DashBoard	http://courses-prd.apexlearning.com/apps/AceWeb/launch2.do?enrollmentID=37052608&outlineID=771833999&launchRedirect=true&role=S	0								5.0.4		37d69704a91cfe267c38e5d1700bb3a2	17	4	28	kafka-consumer-a03
1493409629	550	chrome	jdko5mq1djs4e3ninrn0o21o75a		65.51.107.0	840		0	0	http://courses-prd.apexlearning.com/apps/AceWeb/launch2.do?enrollmentID=37052608&outlineID=771833999&launchRedirect=true&role=S	http://courses-prd.apexlearning.com/apps/AceWeb/launch2.do?enrollmentID=37052608&outlineID=771833999&launchRedirect=true&role=S	http://courses-prd.apexlearning.com/apps/AceWeb/launch2.do?enrollmentID=37052608&role=S&outlineID=771833999&section=0&page=2	0								5.0.4		37d69704a91cfe267c38e5d1700bb3a2	17	4	28	kafka-consumer-a03
1493409997	550	chrome	jdko5mq1djs4e3ninrn0o21o75a		65.51.107.0	840		0	0		http://openstudy.com/updates/51071139e4b0ad57a5643e33	https://www.google.com/search?q=12x1.25+lug+nuts&oq=12x1.25+&aqs=chrome.0.0j69i57j0l4.5102j0j7&sourceid=chrome&ie=UTF-8	0								5.0.4		37d69704a91cfe267c38e5d1700bb3a2	17	4	28	kafka-consumer-a03
1493410006	550	chrome	jdko5mq1djs4e3ninrn0o21o75a		65.51.107.0	840		0	0	https://www.google.com/	https://www.google.com/search?q=12x1.25+lug+nuts&oq=12x1.25+&aqs=chrome.0.0j69i57j0l4.5102j0j7&sourceid=chrome&ie=UTF-8	https://www.amazon.com/Black-Spline-Drive-12x1-25-piece/dp/B0040NINKC	0								5.0.4		37d69704a91cfe267c38e5d1700bb3a2	17	4	28	kafka-consumer-a03
1493410009	550	chrome	jdko5mq1djs4e3ninrn0o21o75a		65.51.107.0	840		0	0		https://www.amazon.com/Black-Spline-Drive-12x1-25-piece/dp/B0040NINKC	https://www.google.com/search?q=12x1.25+lug+nuts&oq=12x1.25+&aqs=chrome.0.0j69i57j0l4.5102j0j7&sourceid=chrome&ie=UTF-8	0								5.0.4		37d69704a91cfe267c38e5d1700bb3a2	17	4	28	kafka-consumer-a03
1493410018	550	chrome	jdko5mq1djs4e3ninrn0o21o75a		65.51.107.0	840		0	0	https://www.google.com/	https://www.google.com/search?q=12x1.25+lug+nuts&oq=12x1.25+&aqs=chrome.0.0j69i57j0l4.5102j0j7&sourceid=chrome&ie=UTF-8	http://www.nlmotoring.com/Lug-Nuts-s/64.htm	0								5.0.4		37d69704a91cfe267c38e5d1700bb3a2	17	4	28	kafka-consumer-a03
1493410044	550	chrome	jdko5mq1djs4e3ninrn0o21o75a		65.51.107.0	840		0	0		http://www.nlmotoring.com/Lug-Nuts-s/64.htm	https://www.google.com/search?q=12x1.25+lug+nuts&oq=12x1.25+&aqs=chrome.0.0j69i57j0l4.5102j0j7&sourceid=chrome&ie=UTF-8	0								5.0.4		37d69704a91cfe267c38e5d1700bb3a2	17	4	28	kafka-consumer-a03
1493410053	550	chrome	jdko5mq1djs4e3ninrn0o21o75a		65.51.107.0	840		0	0	https://www.google.com/	https://www.google.com/search?q=12x1.25+lug+nuts&oq=12x1.25+&aqs=chrome.0.0j69i57j0l4.5102j0j7&sourceid=chrome&ie=UTF-8	https://www.rallysportdirect.com/scp/exterior/wheels-and-accessories/lug-nuts	0								5.0.4		37d69704a91cfe267c38e5d1700bb3a2	17	4	28	kafka-consumer-a03
1493410062	550	chrome	jdko5mq1djs4e3ninrn0o21o75a		65.51.107.0	840		0	0	https://www.rallysportdirect.com/scp/exterior/wheels-and-accessories/lug-nuts	https://www.rallysportdirect.com/scp/exterior/wheels-and-accessories/lug-nuts	https://www.rallysportdirect.com/part/lug-nuts/gor-45028pl-20-gorilla-forged-steel-racing-lug-nuts-prism-light-open-ended-12x1-25	0								5.0.4		37d69704a91cfe267c38e5d1700bb3a2	17	4	28	kafka-consumer-a03
1493410076	550	chrome	jdko5mq1djs4e3ninrn0o21o75a		65.51.107.0	840		0	0	https://www.google.com/	https://www.rallysportdirect.com/part/lug-nuts/gor-45028pl-20-gorilla-forged-steel-racing-lug-nuts-prism-light-open-ended-12x1-25	https://www.rallysportdirect.com/scp/exterior/wheels-and-accessories/lug-nuts	0								5.0.4		37d69704a91cfe267c38e5d1700bb3a2	17	4	28	kafka-consumer-a03
1493410090	550	chrome	jdko5mq1djs4e3ninrn0o21o75a		65.51.107.0	840		0	0	https://www.rallysportdirect.com/scp/exterior/wheels-and-accessories/lug-nuts	https://www.rallysportdirect.com/scp/exterior/wheels-and-accessories/lug-nuts	https://www.rallysportdirect.com/part/lug-nuts/kic-32905n-muteki-sr48-neo-chrome-open-ended-lug-nuts-12x1-25	0								5.0.4		37d69704a91cfe267c38e5d1700bb3a2	17	4	28	kafka-consumer-a03
1493410104	550	chrome	jdko5mq1djs4e3ninrn0o21o75a		65.51.107.0	840		0	0	https://www.google.com/	https://www.rallysportdirect.com/part/lug-nuts/kic-32905n-muteki-sr48-neo-chrome-open-ended-lug-nuts-12x1-25	https://www.rallysportdirect.com/scp/exterior/wheels-and-accessories/lug-nuts	0								5.0.4		37d69704a91cfe267c38e5d1700bb3a2	17	4	28	kafka-consumer-a03
1493410108	550	chrome	jdko5mq1djs4e3ninrn0o21o75a		65.51.107.0	840		0	0	https://www.rallysportdirect.com/scp/exterior/wheels-and-accessories/lug-nuts	https://www.rallysportdirect.com/scp/exterior/wheels-and-accessories/lug-nuts	https://www.rallysportdirect.com/part/lug-nuts/kic-31876nk-kics-r40-16-4-piece-neo-chrome-12x1-50-lug-nuts	0								5.0.4		37d69704a91cfe267c38e5d1700bb3a2	17	4	28	kafka-consumer-a03
1493410132	550	chrome	jdko5mq1djs4e3ninrn0o21o75a		65.51.107.0	840		0	0	https://www.google.com/	https://www.rallysportdirect.com/part/lug-nuts/kic-31876nk-kics-r40-16-4-piece-neo-chrome-12x1-50-lug-nuts	https://www.google.com/search?q=12x1.25+lug+nuts&oq=12x1.25+&aqs=chrome.0.0j69i57j0l4.5102j0j7&sourceid=chrome&ie=UTF-8	0								5.0.4		37d69704a91cfe267c38e5d1700bb3a2	17	4	28	kafka-consumer-a03
1493410137	550	chrome	jdko5mq1djs4e3ninrn0o21o75a		65.51.107.0	840		0	0	https://www.google.com/	https://www.google.com/search?q=12x1.25+lug+nuts&oq=12x1.25+&aqs=chrome.0.0j69i57j0l4.5102j0j7&sourceid=chrome&ie=UTF-8	http://www.ebay.com/bhp/tuner-lug-nuts	0								5.0.4		37d69704a91cfe267c38e5d1700bb3a2	17	4	28	kafka-consumer-a03
1493410171	550	chrome	jdko5mq1djs4e3ninrn0o21o75a		65.51.107.0	840		0	0		http://www.ebay.com/bhp/tuner-lug-nuts	https://www.google.com/search?q=lug+nut+guys&oq=lug+nut+guys&aqs=chrome..69i57j0l5.4830j0j7&sourceid=chrome&ie=UTF-8	0								5.0.4		37d69704a91cfe267c38e5d1700bb3a2	17	4	28	kafka-consumer-a03
1493410177	550	chrome	jdko5mq1djs4e3ninrn0o21o75a		65.51.107.0	840		0	0	https://www.google.com/	https://www.google.com/search?q=lug+nut+guys&oq=lug+nut+guys&aqs=chrome..69i57j0l5.4830j0j7&sourceid=chrome&ie=UTF-8	http://stores.ebay.com/LugNutGuys	0								5.0.4		37d69704a91cfe267c38e5d1700bb3a2	17	4	28	kafka-consumer-a03
1493410181	550	chrome	jdko5mq1djs4e3ninrn0o21o75a		65.51.107.0	840		0	0	http://stores.ebay.com/LugNutGuys	http://stores.ebay.com/LugNutGuys	http://stores.ebay.com/LugNutGuys_W0QQ_sasiZ1	0								5.0.4		37d69704a91cfe267c38e5d1700bb3a2	17	4	28	kafka-consumer-a03
1493410195	550	chrome	jdko5mq1djs4e3ninrn0o21o75a		65.51.107.0	840		0	0	http://stores.ebay.com/LugNutGuys_W0QQ_sasiZ1	http://stores.ebay.com/LugNutGuys_W0QQ_sasiZ1	http://stores.ebay.com/LugNutGuys/Locking-Lug-Nuts-/_i.html?_fsub=1980400017&_sasi=1&_sid=23453627&_trksid=p4634.c0.m322	0								5.0.4		37d69704a91cfe267c38e5d1700bb3a2	17	4	28	kafka-consumer-a03
