app	devices	source	users	sessions	usagetime	qualified_active_users	year	month	day
com.venmo	1	5121	0	0	0	1	17	4	19
com.venmo	2	5139	0	0	0	1	17	4	19
com.venmo	161	5424	0	0	0	21	17	4	19
com.venmo	1	5121	0	0	0	1	17	4	20
com.venmo	1	5139	0	0	0	0	17	4	20
com.venmo	165	5424	1	2	29.499	27	17	4	20
com.venmo	6	5125	0	0	0	5	17	4	20
com.venmo	5	883	0	0	0	5	17	4	20
com.venmo	369	961	4	4	126.943	116	17	4	20
com.venmo	14	5067	0	0	0	2	17	4	19
com.venmo	73	981	3	6	392.663	41	17	4	19
com.venmo	13	5067	0	0	0	2	17	4	21
com.venmo	77	981	4	4	4187.032	41	17	4	21
com.venmo	29	5149	2	2	140.046	17	17	4	19
com.venmo	5943	5119	61	86	15968.822	2359	17	4	19
com.venmo	1	652	0	0	0	0	17	4	19
com.venmo	76	877	1	1	40.002	48	17	4	19
com.venmo	11	904	2	4	102.587	8	17	4	19
com.venmo	224	955	5	6	89.266	94	17	4	19
com.venmo	7	5125	0	0	0	6	17	4	21
com.venmo	7	883	1	1	365.085	7	17	4	21
com.venmo	341	961	5	6	393.611	116	17	4	21
com.venmo	22	655	1	1	15.164	14	17	4	19
com.venmo	13	5067	0	0	0	2	17	4	20
com.venmo	72	981	1	1	15.671	34	17	4	20
com.venmo	697	5087	14	27	3130.584	262	17	4	20
com.venmo	1	5121	0	0	0	1	17	4	21
com.venmo	2	5139	0	0	0	1	17	4	21
com.venmo	157	5424	1	2	90.148	27	17	4	21
com.venmo	660	5087	16	29	2457.199	226	17	4	21
com.venmo	702	5087	13	18	1428.875	260	17	4	19
com.venmo	20	655	0	0	0	14	17	4	20
com.venmo	518	960	15	25	1654.913	297	17	4	21
com.venmo	18	5059	0	0	0	14	17	4	19
com.venmo	16	5059	0	0	0	14	17	4	21
com.venmo	46	951	0	0	0	5	17	4	19
com.venmo	45	5197	0	0	0	21	17	4	19
com.venmo	519	5482	33	51	13072.678	303	17	4	19
com.venmo	19	655	0	0	0	12	17	4	21
com.venmo	4	5134	0	0	0	1	17	4	20
com.venmo	4	5134	0	0	0	1	17	4	21
