visits.site	visits.country	visits.source	visits.site2	visits.traffic_source	visits.landingpage	visits.sendingpage	visits.user	visits.pages	visits.refpath	visits.year	visits.month	visits.day
eharmony.co.uk	826	1940	uk.priceunicorn.com	6	eharmony.co.uk	uk.priceunicorn.com/tents-shelters	k6DWSX0A7MIOd4eoC4dcbbBvqnjXPmtJ	"[""eharmony.co.uk"",""eharmony.co.uk/local-dating/yorkshire-and-the-humber/sheffield-singles"",""eharmony.co.uk/local-dating/yorkshire-and-the-humber/sheffield-singles/10"",""eharmony.co.uk/asian-dating""]"	"[""eharmony.co.uk""]"	17	5	28
eharmony.co.uk	826	1940	uk.priceunicorn.com	6	eharmony.co.uk	uk.priceunicorn.com	R27ZiQR22f4cVUKnv6blg4nsDc9XE974	"[""eharmony.co.uk"",""eharmony.co.uk/local-dating/east-midlands""]"	"[""eharmony.co.uk""]"	17	5	10
eharmony.co.uk	826	1940	uk.priceunicorn.com	6	eharmony.co.uk	uk.priceunicorn.com	BigVRYaOiQVNKdTSkzkvUARpHRGJ0lQC	"[""eharmony.co.uk"",""eharmony.co.uk/login""]"	"[""eharmony.co.uk""]"	17	5	27
eharmony.co.uk	826	1560	uk.priceunicorn.com	6	eharmony.co.uk	uk.priceunicorn.com/carissima-gold-9-ct-2-colour-gold-i-love-you-heart-pendant-on-curb-chain-necklace-of-46-cm-18-inch-aidB005PJY58O	zKyg4MrdGGtPVvwhOeARescZrTCmrOD8	"[""eharmony.co.uk""]"	"[""eharmony.co.uk""]"	17	5	31
eharmony.co.uk	826	1747	uk.priceunicorn.com	6	eharmony.co.uk	uk.priceunicorn.com	hiCadJ0KOIyZo8LC9iPMTmBr75AguGdd	"[""eharmony.co.uk"",""eharmony.co.uk/local-dating/south-east-england/brighton-singles"",""eharmony.co.uk/local-dating/yorkshire-and-the-humber/sheffield-singles"",""eharmony.co.uk/local-dating/east-of-england/cambridge-singles""]"	"[""eharmony.co.uk""]"	17	5	13
eharmony.co.uk	826	1940	uk.priceunicorn.com	6	eharmony.co.uk	uk.priceunicorn.com	MYxsCtf8GqcUESIuSQhP9KaQsCN3aD3j	"[""eharmony.co.uk"",""eharmony.co.uk/browsers"",""eharmony.co.uk/about/press"",""eharmony.co.uk/lifestyle/european-dating""]"	"[""eharmony.co.uk""]"	17	5	17
eharmony.co.uk	826	1940	uk.priceunicorn.com	6	eharmony.co.uk	uk.priceunicorn.com	MYxsCtf8GqcUESIuSQhP9KaQsCN3aD3j	"[""eharmony.co.uk""]"	"[""eharmony.co.uk""]"	17	5	17
eharmony.co.uk	826	1940	uk.priceunicorn.com	6	eharmony.co.uk	uk.priceunicorn.com/headphones-earphones	bQakEZqgyYhZmDxAGAvDqQVO8tsgFdVz	"[""eharmony.co.uk"",""eharmony.co.uk/indian-dating"",""eharmony.co.uk/dating-advice""]"	"[""eharmony.co.uk""]"	17	5	10
eharmony.co.uk	826	1747	uk.priceunicorn.com	6	eharmony.co.uk	uk.priceunicorn.com	TFoOuL0LYhg4Q5ydyy9KaaP72ERyQeoL	"[""eharmony.co.uk"",""eharmony.co.uk/safety/tips"",""eharmony.co.uk/lifestyle/single-parent-dating""]"	"[""eharmony.co.uk""]"	17	5	14
eharmony.co.uk	826	1940	uk.priceunicorn.com	6	eharmony.co.uk	uk.priceunicorn.com/to-shop/aHR0cHM6Ly93d3cuYW1hem9uLmNvLnVrL1BoaWxpcHMtSFI3NzYxLTAxLVByb2Nlc3Nvci1BY2Nlc3Nvcmllcy9kcC9CMDA5NVoxN1lPP1N1YnNjcmlwdGlvbklkPUFLSUFJQlVOS1lGVlY1UzdHVlhRJnRhZz1wcml1azA1LTIxJmxpbmtDb2RlPXNwMSZjYW1wPTIwMjUmY3JlYXRpdmU9MTY1OTUzJmNyZWF0aXZlQVNJTj1CMDA5NVoxN1lP	SmamnFg1xQRZmoswksE7CxL1YKQJsScJ	"[""eharmony.co.uk""]"	"[""eharmony.co.uk""]"	17	5	31
eharmony.co.uk	826	1940	uk.priceunicorn.com	6	eharmony.co.uk	uk.priceunicorn.com	xHIXLl62vZq1fJRbHXV9E4Fjt97jKRPR	"[""eharmony.co.uk"",""eharmony.co.uk/local-dating/northern-ireland"",""eharmony.co.uk/about/terms-cookie-policy"",""eharmony.co.uk/tour""]"	"[""eharmony.co.uk""]"	17	5	29
eharmony.co.uk	826	1560	uk.priceunicorn.com	6	eharmony.co.uk	uk.priceunicorn.com/floor-lamp-aidB00NBVMM4M	dI5ud56XjzWmFlRp4MoZuDru8hU6Yd8q	"[""eharmony.co.uk"",""eharmony.co.uk/muslim-marriage"",""eharmony.co.uk/local-dating/greater-london"",""eharmony.co.uk/about/terms""]"	"[""eharmony.co.uk""]"	17	5	27
eharmony.co.uk	826	1560	uk.priceunicorn.com	6	eharmony.co.uk	uk.priceunicorn.com/bosch-bgs4allgb-compact-all-floor-2-bagless-cylinder-vacuum-cleaner-19-l-blue-aidB00K8S68LO	jzHUoXrZLiIcyYJA7mXe6DSYxqihajjb	"[""eharmony.co.uk"",""eharmony.co.uk/local-dating/scotland"",""eharmony.co.uk/local-dating/city-of-edinburgh"",""eharmony.co.uk/local-dating/greater-london/london-singles""]"	"[""eharmony.co.uk""]"	17	5	27
eharmony.co.uk	826	1560	uk.priceunicorn.com	6	eharmony.co.uk	uk.priceunicorn.com	DWkj2EzLrwzIQKc7k845K614vDWWASDE	"[""eharmony.co.uk"",""eharmony.co.uk/login""]"	"[""eharmony.co.uk""]"	17	5	8
eharmony.co.uk	826	1940	uk.priceunicorn.com	6	eharmony.co.uk	uk.priceunicorn.com/about-us	EHGiF6kQK1YSIpdSdZKokuIFZtZjcsdD	"[""eharmony.co.uk"",""eharmony.co.uk/local-dating/belfast-city/belfast-singles"",""eharmony.co.uk/local-dating/belfast-city/belfast-singles/5"",""eharmony.co.uk/local-dating/belfast-city/belfast-singles/3""]"	"[""eharmony.co.uk""]"	17	5	9
eharmony.co.uk	826	1940	uk.priceunicorn.com	6	eharmony.co.uk	uk.priceunicorn.com/curtains-blinds	EHGiF6kQK1YSIpdSdZKokuIFZtZjcsdD	"[""eharmony.co.uk""]"	"[""eharmony.co.uk""]"	17	5	16
eharmony.co.uk	826	1940	uk.priceunicorn.com	6	eharmony.co.uk	uk.priceunicorn.com/camp-kitchen	BigVRYaOiQVNKdTSkzkvUARpHRGJ0lQC	"[""eharmony.co.uk"",""eharmony.co.uk/free-dating"",""eharmony.co.uk/lifestyle/chinese-dating""]"	"[""eharmony.co.uk""]"	17	5	21
