site	country	weekbegins	weekends	direct	displayads	mail	organic_search	paid_search	referrals	social
houseoffraser.co.uk*	999	24.07.2017	30.07.2017	0.218789571	0.052055662	0.041141687	0.406388439	0.131824821	0.128086152	0.021713668
laptopsdirect.co.uk*	999	24.07.2017	30.07.2017	0.131787554	0.025564804	0.013674197	0.63575109	0.110780816	0.058660325	0.023781213
marksandspencer.com*	999	24.07.2017	30.07.2017	0.286927419	0.007943488	0.083710194	0.412128959	0.046244253	0.142655715	0.020389972
moss.co.uk*	999	24.07.2017	30.07.2017	0.175456389	0.007606491	0.045638945	0.475659229	0.164807302	0.10040568	0.030425963
aeg.co.uk*	999	24.07.2017	30.07.2017	0.083857442	0	0	0.714884696	0.020964361	0.15932914	0.020964361
glassesdirect.co.uk*	999	24.07.2017	30.07.2017	0.200469454	0.008881558	0.083930724	0.34948931	0.121677346	0.208272537	0.027279071
next.co.uk*	999	24.07.2017	30.07.2017	0.322993452	0.00333064	0.034699208	0.412298567	0.015835677	0.191797255	0.019045202
amazon.co.uk*	999	24.07.2017	30.07.2017	0.414502634	0.002341733	0.039399573	0.281082267	0.027719521	0.186192644	0.048761628
lg.com*	999	24.07.2017	30.07.2017	0.153761949	0.051280318	0.013850728	0.618007339	0.04841823	0.081200018	0.033481419
simplehuman.com*	999	24.07.2017	30.07.2017	0.185823755	0.036398467	0.014367816	0.422413793	0.124521073	0.180076628	0.036398467
whitestuff.com*	999	24.07.2017	30.07.2017	0.303311258	0.033112583	0.091390728	0.255629139	0.145695364	0.131125828	0.039735099
worldstores.co.uk*	999	24.07.2017	30.07.2017	0.090196751	0.007989298	0.063159031	0.132941915	0.154672805	0.544648761	0.006391438
bhsdirect.co.uk*	999	24.07.2017	30.07.2017	0	0	0	1	0	0	0
johnlewis.com*	999	24.07.2017	30.07.2017	0.221120073	0.009413534	0.029433707	0.464906325	0.113475873	0.138240468	0.02341002
phase-eight.com*	999	24.07.2017	30.07.2017	0.148148148	0.009496676	0.156695157	0.290598291	0.047483381	0.319088319	0.028490028
richersounds.com*	999	24.07.2017	30.07.2017	0.192585332	0	0.023549837	0.644193948	0	0.119086582	0.020584302
very.co.uk*	999	24.07.2017	30.07.2017	0.318428705	0.006775944	0.042638867	0.332021254	0.059220648	0.212323404	0.028591178
ikea.com*	999	24.07.2017	30.07.2017	0.26533534	0.006966515	0.043161454	0.386616775	0.073012383	0.184813024	0.040094508
seasaltcornwall.co.uk*	999	24.07.2017	30.07.2017	0.210884354	0	0.178571429	0.367346939	0.085034014	0.107142857	0.051020408
sony.co.uk*	999	24.07.2017	30.07.2017	0.188579421	0.001953773	0.012699525	0.680452655	0.006707954	0.097558404	0.012048267
tiffany.co.uk*	999	24.07.2017	30.07.2017	0.165706052	0.007204611	0	0.508645533	0.136887608	0.174351585	0.007204611
decathlon.co.uk*	999	24.07.2017	30.07.2017	0.198210679	0.008762998	0.016824957	0.553470982	5.84E-04	0.205788586	0.016357597
georgjensen.com*	999	24.07.2017	30.07.2017	0.308351858	0.028580502	0.028580502	0.362019689	0.152429343	0.120038107	0
homesense.com*	999	24.07.2017	30.07.2017	0.036144578	0	0.036144578	0.662650602	0.084337349	0.180722892	0
jigsaw-online.com*	999	24.07.2017	30.07.2017	0.223316913	0.008210181	0.049261084	0.44499179	0.073891626	0.183908046	0.016420361
